"Year","Control","Log_Single","Log_Sequential"
1979,337.529083251953,337.529083251953,337.529083251953
1980,532.753723144531,532.753723144531,532.753723144531
1981,848.641906738281,848.641906738281,848.641906738281
1982,922.459289550781,922.459289550781,922.459289550781
1983,967.754089355469,967.754089355469,967.754089355469
1984,889.653076171875,889.653076171875,889.653076171875
1985,674.111755371094,674.111755371094,674.111755371094
1986,573.884765625,573.884765625,573.884765625
1987,629.245300292969,629.245300292969,629.245300292969
1988,624.532897949219,624.532897949219,624.532897949219
1989,538.511535644531,538.511535644531,538.511535644531
1990,567.272277832031,567.272277832031,567.272277832031
1991,447.187225341797,447.187225341797,447.187225341797
1992,424.906951904297,424.906951904297,424.906951904297
1993,566.062133789062,566.062133789062,566.062133789062
1994,663.278686523438,663.278686523438,663.278686523438
1995,796.705810546875,796.705810546875,796.705810546875
1996,798.268859863281,798.268859863281,798.268859863281
1997,687.085021972656,687.085021972656,687.085021972656
1998,595.165588378906,595.165588378906,595.165588378906
1999,645.870910644531,645.870910644531,645.870910644531
2000,669.645690917969,669.645690917969,669.645690917969
2001,610.859191894531,610.859191894531,610.859191894531
2002,645.048522949219,645.048522949219,645.048522949219
2003,510.358764648438,510.358764648438,510.358764648438
2004,478.389190673828,478.389190673828,478.389190673828
2005,593.981079101562,593.981079101562,593.981079101562
2006,669.503234863281,669.503234863281,669.503234863281
2007,798.115417480469,798.115417480469,798.115417480469
2008,819.864074707031,819.864074707031,819.864074707031
2009,745.245422363281,745.245422363281,745.245422363281
2010,652.129028320312,652.129028320312,652.129028320312
2011,698.681396484375,698.681396484375,698.681396484375
2012,717.566711425781,717.566711425781,717.566711425781
2013,651.44384765625,651.44384765625,651.44384765625
2014,681.37548828125,681.37548828125,681.37548828125
2015,535.433166503906,535.433166503906,535.433166503906
2016,497.808990478516,497.808990478516,497.808990478516
2017,612.311706542969,612.311706542969,612.311706542969
2018,686.601989746094,686.601989746094,686.601989746094
2019,815.118408203125,815.118408203125,815.118408203125
2020,832.462646484375,832.462646484375,832.462646484375
2021,751.426452636719,751.426452636719,751.426452636719
2022,654.166931152344,654.166931152344,654.166931152344
2023,697.768981933594,697.768981933594,697.768981933594
2024,713.459716796875,713.459716796875,713.459716796875
2025,646.285583496094,646.285583496094,646.285583496094
2026,674.41552734375,674.41552734375,674.41552734375
2027,529.46728515625,529.46728515625,529.46728515625
2028,491.646148681641,491.646148681641,491.646148681641
2029,602.179748535156,602.179748535156,602.179748535156
2030,671.853942871094,671.853942871094,671.853942871094
2031,794.37060546875,794.37060546875,794.37060546875
2032,810.268371582031,810.268371582031,810.268371582031
2033,740.128662109375,740.128662109375,740.128662109375
2034,649.263854980469,649.263854980469,649.263854980469
2035,692.680725097656,692.680725097656,692.680725097656
2036,708.124084472656,708.124084472656,708.124084472656
2037,641.88671875,641.88671875,641.88671875
2038,670.00537109375,670.00537109375,670.00537109375
2039,525.764953613281,525.764953613281,525.764953613281
2040,487.594451904297,487.594451904297,487.594451904297
2041,597.148376464844,597.148376464844,597.148376464844
2042,666.727233886719,666.727233886719,666.727233886719
2043,789.736389160156,789.736389160156,789.736389160156
2044,807.472473144531,807.472473144531,807.472473144531
2045,738.349060058594,738.349060058594,738.349060058594
2046,647.520385742188,647.520385742188,647.520385742188
2047,690.709289550781,690.709289550781,690.709289550781
2048,706.506530761719,706.506530761719,706.506530761719
2049,639.975158691406,639.975158691406,639.975158691406
2050,667.075500488281,667.075500488281,667.075500488281
2051,522.608459472656,522.608459472656,522.608459472656
2052,484.116851806641,484.116851806641,484.116851806641
2053,593.155517578125,593.155517578125,593.155517578125
2054,662.112121582031,662.112121582031,662.112121582031
2055,782.205078125,782.205078125,782.205078125
2056,796.803894042969,796.803894042969,796.803894042969
2057,728.828674316406,728.828674316406,728.828674316406
2058,639.946716308594,639.946716308594,639.946716308594
2059,682.332946777344,682.332946777344,682.332946777344
2060,697.236022949219,697.236022949219,697.236022949219
2061,632.954528808594,632.954528808594,632.954528808594
2062,660.838806152344,660.838806152344,660.838806152344
2063,518.569274902344,518.569274902344,518.569274902344
2064,480.537322998047,480.537322998047,480.537322998047
2065,588.155822753906,588.155822753906,588.155822753906
2066,656.410949707031,656.410949707031,656.410949707031
2067,777.341613769531,777.341613769531,777.341613769531
2068,793.302490234375,793.302490234375,793.302490234375
2069,727.302001953125,727.302001953125,727.302001953125
2070,639.210144042969,639.210144042969,639.210144042969
2071,681.342224121094,681.342224121094,681.342224121094
2072,695.671569824219,695.671569824219,695.671569824219
2073,630.584533691406,630.584533691406,630.584533691406
2074,657.786926269531,657.786926269531,657.786926269531
2075,515.599365234375,515.599365234375,515.599365234375
2076,477.414642333984,477.414642333984,477.414642333984
2077,584.115173339844,584.115173339844,584.115173339844
2078,651.738586425781,651.738586425781,651.738586425781
2079,772.384765625,593.762145996094,700.007385253906
2080,790.258056640625,152.821441650391,533.135192871094
2081,725.440185546875,159.673751831055,458.451293945312
2082,637.763244628906,167.716796875,296.837860107422
2083,679.934387207031,216.716552734375,292.868743896484
2084,693.941101074219,259.226287841797,168.534515380859
2085,628.463623046875,280.360321044922,176.246398925781
2086,654.74072265625,357.387542724609,218.843612670898
2087,512.738708496094,333.611999511719,202.662612915039
2088,474.429351806641,364.964233398438,221.033981323242
2089,579.857971191406,479.1318359375,293.964233398438
2090,645.916564941406,556.794982910156,349.524444580078
2091,763.85888671875,686.330261230469,442.507537841797
2092,779.449401855469,729.370910644531,483.715362548828
2093,718.689208984375,711.797180175781,491.610076904297
2094,635.087707519531,672.980651855469,498.724822998047
2095,677.566955566406,745.142333984375,611.603454589844
2096,691.757507324219,762.864562988281,696.57470703125
2097,627.176635742188,677.662109375,707.407531738281
2098,653.664306640625,694.821960449219,780.101806640625
2099,511.960357666016,538.489013671875,615.434387207031
2100,473.311676025391,493.584991455078,565.919677734375
2101,578.61474609375,603.626525878906,690.511901855469
2102,645.715148925781,674.054260253906,766.383850097656
2103,765.368957519531,797.947692871094,895.195129394531
2104,781.604919433594,813.482604980469,889.708984375
2105,718.409973144531,733.256896972656,762.25927734375
2106,632.763977050781,635.829406738281,646.831176757812
2107,674.202880859375,675.644226074219,685.225402832031
2108,687.7236328125,689.422546386719,699.437072753906
2109,623.441711425781,623.972473144531,630.929260253906
2110,650.020568847656,649.913208007812,655.866577148438
2111,509.408905029297,508.957397460938,512.705505371094
2112,471.335968017578,470.840667724609,473.963287353516
2113,575.736145019531,575.581481933594,580.362487792969
2114,641.449523925781,640.725158691406,647.148498535156
2115,759.535095214844,757.066650390625,763.93017578125
2116,776.251953125,770.95166015625,776.156066894531
2117,716.619323730469,711.919372558594,713.909606933594
2118,633.426513671875,630.568603515625,630.360778808594
2119,675.563110351562,673.011535644531,672.034301757812
2120,689.179626464844,686.729187011719,685.523193359375
2121,624.396118164062,623.359741210938,623.013854980469
2122,650.757751464844,650.275817871094,650.270690917969
2123,509.478912353516,509.513946533203,509.637359619141
2124,470.431182861328,471.026763916016,471.411743164062
2125,575.049560546875,575.553527832031,575.401794433594
2126,641.681701660156,641.84619140625,640.932067871094
2127,759.166442871094,761.427062988281,758.915222167969
2128,773.774719238281,778.639831542969,774.754821777344
2129,712.763244628906,716.959655761719,714.806823730469
2130,629.402893066406,631.982360839844,631.845764160156
2131,671.246154785156,673.385803222656,673.697998046875
2132,684.867736816406,686.760009765625,687.195556640625
2133,621.335815429688,622.215209960938,622.7451171875
2134,648.039123535156,648.490295410156,649.023071289062
2135,507.734161376953,507.700042724609,508.201904296875
2136,469.4501953125,469.286651611328,469.48193359375
2137,573.390563964844,573.361877441406,573.497131347656
2138,638.8720703125,638.816772460938,639.490234375
2139,756.832275390625,756.095031738281,757.455261230469
2140,773.322021484375,772.502624511719,773.796875
2141,713.377380371094,712.8974609375,714.055908203125
2142,630.26025390625,630.003234863281,631.016906738281
2143,671.860961914062,672.043762207031,672.900512695312
2144,685.122131347656,685.838195800781,686.498291015625
2145,620.844665527344,621.803283691406,622.090881347656
2146,646.833251953125,648.107971191406,648.404846191406
2147,506.528228759766,507.443115234375,507.701812744141
2148,468.222900390625,468.609954833984,468.957916259766
2149,571.69287109375,572.872436523438,573.447509765625
2150,636.727233886719,639.442199707031,640.224426269531
2151,753.761291503906,758.982727050781,759.879333496094
2152,770.0595703125,777.090270996094,777.792053222656
2153,711.794738769531,716.031494140625,716.640869140625
2154,629.941711425781,631.206726074219,631.619812011719
2155,672.016784667969,672.378479003906,672.998840332031
2156,685.522766113281,685.6650390625,686.515563964844
2157,621.023986816406,620.939270019531,621.531433105469
2158,647.052551269531,646.732849121094,647.135681152344
2159,506.350189208984,506.257110595703,506.421356201172
2160,467.624664306641,467.714874267578,467.983673095703
2161,571.294128417969,571.721862792969,571.721862792969
2162,637.128234863281,637.612854003906,636.682922363281
2163,753.786804199219,755.54931640625,752.780700683594
2164,768.372619628906,771.86376953125,767.292663574219
2165,709.025451660156,711.430969238281,708.77197265625
2166,627.103576660156,627.968078613281,627.6669921875
2167,668.451721191406,669.032775878906,669.533935546875
2168,681.284545898438,681.863891601562,682.637084960938
2169,617.955017089844,617.934753417969,619.110656738281
2170,644.232299804688,644.066467285156,645.574096679688
2171,504.585601806641,504.402069091797,505.376312255859
2172,466.413482666016,466.210113525391,466.700042724609
2173,569.414611816406,569.369445800781,569.864624023438
2174,634.466064453125,634.257385253906,635.116455078125
2175,751.600036621094,751.093017578125,752.097412109375
2176,768.657897949219,767.101135253906,767.879089355469
2177,710.695007324219,709.1123046875,709.336364746094
2178,628.979675292969,627.959289550781,627.726257324219
2179,670.831970214844,669.438659667969,669.520324707031
2180,724.921508789062,722.702026367188,723.284606933594
